,Date,주택뉴스심리지수,오피스뉴스심리지수,리테일뉴스심리지수,물류뉴스심리지수
418,2020-02-23,0.533,0.25,0.0,0.5
419,2020-02-24,0.725,0.429,0.0,0.25
420,2020-02-25,0.614,0.2,0.0,1.0
421,2020-02-26,0.605,0.25,0.333,0.5
422,2020-02-27,0.842,0.2,0.0,0.417
423,2020-02-28,0.615,0.182,0.333,0.375
424,2020-02-29,0.5,0.0,0.0,1.0
425,2020-03-01,0.476,0.6,0.0,1.0
426,2020-03-02,0.524,0.429,0.5,1.0
427,2020-03-03,0.645,0.526,0.739,0.4
428,2020-03-04,0.679,0.375,0.0,0.5
429,2020-03-05,0.368,0.5,0.0,0.182
430,2020-03-06,0.69,0.667,0.0,0.667
431,2020-03-07,0.556,0.4,0.0,0.667
432,2020-03-08,0.583,0.5,0.0,0.5
433,2020-03-09,0.556,0.538,0.0,0.4
434,2020-03-10,0.672,0.875,1.0,1.0
435,2020-03-11,0.644,0.667,0.4,0.375
436,2020-03-12,0.617,0.188,0.0,0.0
437,2020-03-13,0.778,0.833,0.0,0.111
438,2020-03-14,0.3,0.5,1.0,0.667
439,2020-03-15,0.64,0.0,0.0,0.0
440,2020-03-16,0.5,0.4,0.0,0.375
441,2020-03-17,0.512,0.6,0.0,0.333
442,2020-03-18,0.843,0.714,1.0,0.556
443,2020-03-19,0.745,0.667,0.0,0.571
444,2020-03-20,0.613,0.625,0.0,0.5
445,2020-03-21,0.231,0.0,0.0,0.0
446,2020-03-22,0.462,0.5,0.0,0.167
447,2020-03-23,0.345,0.25,0.0,0.0
448,2020-03-24,0.5,0.6,0.5,0.429
449,2020-03-25,0.44,0.364,0.0,0.6
450,2020-03-26,0.349,0.286,0.5,0.364
451,2020-03-27,0.474,0.2,0.167,0.2
452,2020-03-28,0.385,0.0,0.0,0.0
453,2020-03-29,0.295,0.25,0.0,0.0
454,2020-03-30,0.425,0.375,0.333,0.6
455,2020-03-31,0.431,0.273,0.375,0.714
456,2020-04-01,0.594,0.5,0.333,0.429
457,2020-04-02,0.452,0.4,0.25,0.0
458,2020-04-03,0.488,0.286,0.333,0.2
459,2020-04-04,0.333,0.0,0.0,0.0
460,2020-04-05,0.167,0.0,0.0,0.5
461,2020-04-06,0.577,0.273,0.0,0.5
462,2020-04-07,0.367,0.455,0.333,0.714
463,2020-04-08,0.484,0.636,0.75,0.875
464,2020-04-09,0.476,0.2,0.0,0.75
465,2020-04-10,0.545,0.556,0.2,0.636
466,2020-04-11,0.769,0.25,0.0,0.0
467,2020-04-12,0.692,0.4,0.5,1.0
468,2020-04-13,0.405,0.2,0.0,0.0
469,2020-04-14,0.636,0.333,1.0,0.4
470,2020-04-15,0.522,0.25,0.0,0.0
471,2020-04-16,0.409,0.125,0.5,0.727
472,2020-04-17,0.527,0.0,1.0,0.667
